City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mar Del Plata,AR,2022-03-12 01:02:03,-38.0023,-57.5575,61.09,68,0,8.01
68,Bluff,NZ,2022-03-12 01:02:03,-46.6,168.3333,60.8,75,20,19.08
69,Faanui,PF,2022-03-12 01:02:04,-16.4833,-151.75,81.43,71,10,12.26
70,Chokurdakh,RU,2022-03-12 01:02:04,70.6333,147.9167,-8.7,94,100,8.79
71,Atasu,KZ,2022-03-12 01:02:05,48.6814,71.6433,27.14,98,100,2.77
72,Bredasdorp,ZA,2022-03-12 00:58:11,-34.5322,20.0403,67.32,88,0,3.44
73,Anchorage,US,2022-03-12 00:58:33,61.2181,-149.9003,40.64,85,100,5.01
74,Chake Chake,TZ,2022-03-12 01:02:06,-5.2459,39.7666,76.26,83,71,7.52
75,Sao Joao Da Barra,BR,2022-03-12 01:02:06,-21.6403,-41.0511,78.94,84,5,18.79
76,Miri,MY,2022-03-12 01:02:07,4.4148,114.0089,79.68,85,100,2.62
77,Port Alfred,ZA,2022-03-12 01:02:07,-33.5906,26.891,72.55,86,100,7.81
78,Yarada,IN,2022-03-12 00:58:43,17.65,83.2667,70.12,94,20,2.3
79,Qaanaaq,GL,2022-03-12 01:02:08,77.484,-69.3632,-12.46,77,19,4.85
80,Lompoc,US,2022-03-12 01:02:08,34.6391,-120.4579,69.94,30,0,12.66
81,Cidreira,BR,2022-03-12 01:02:09,-30.1811,-50.2056,69.67,71,100,12.66
82,Morro Bay,US,2022-03-12 00:59:08,35.3658,-120.8499,69.71,37,0,1.99
83,Batemans Bay,AU,2022-03-12 01:02:09,-35.7167,150.1833,71.1,64,25,5.37
84,Meulaboh,ID,2022-03-12 01:02:10,4.1363,96.1285,77.86,83,79,3.42
85,Emerald,AU,2022-03-12 01:01:27,-23.5333,148.1667,82.35,56,69,18.1
86,Saint-Augustin,CA,2022-03-12 01:03:10,51.226,-58.6502,-3.71,86,0,6.44
87,Geraldton,AU,2022-03-12 01:03:11,-28.7667,114.6,77.41,73,8,10.36
88,Guiglo,CI,2022-03-12 01:03:11,6.5456,-7.4966,76.48,84,100,3.02
89,Kaitong,CN,2022-03-12 01:03:12,44.8135,123.15,33.8,65,100,8.93
90,Yellowknife,CA,2022-03-12 01:01:22,62.456,-114.3525,1.42,86,100,10.0
91,Atambua,ID,2022-03-12 01:03:12,-9.1061,124.8925,80.82,75,99,2.17
92,Saint-Pierre,RE,2022-03-12 01:03:13,-21.3393,55.4781,74.91,75,0,5.75
93,Moranbah,AU,2022-03-12 01:03:13,-22.0016,148.0466,80.15,65,100,19.19
94,Nhulunbuy,AU,2022-03-12 01:03:14,-12.2333,136.7667,84.81,70,100,5.75
95,Constitucion,CL,2022-03-12 01:03:14,-35.3333,-72.4167,57.6,78,0,0.67
96,Bitung,ID,2022-03-12 01:03:15,1.4451,125.1824,86.85,70,100,3.8
97,Saint-Philippe,RE,2022-03-12 01:03:15,-21.3585,55.7679,74.21,82,41,9.64
98,Iskateley,RU,2022-03-12 01:03:15,67.6803,53.1512,20.89,94,97,12.77
99,Buala,SB,2022-03-12 01:03:16,-8.145,159.5921,83.59,75,62,4.52
100,San Cristobal,VE,2022-03-12 01:03:16,7.7669,-72.225,67.28,96,98,2.51
101,Sabang,ID,2022-03-12 01:03:17,5.8933,95.3214,82.33,72,94,7.47
102,Saint-Georges,GD,2022-03-12 00:59:25,12.0564,-61.7485,77.95,73,14,18.59
103,Mahebourg,MU,2022-03-12 01:03:17,-20.4081,57.7,77.29,94,40,9.22
104,Juneau,US,2022-03-12 00:58:24,58.3019,-134.4197,36.21,99,100,5.1
105,Amarante Do Maranhao,BR,2022-03-12 01:03:18,-5.5667,-46.7422,72.39,95,100,2.28
106,North Platte,US,2022-03-12 01:00:53,41.1239,-100.7654,24.26,54,49,5.99
107,Myrtle Grove,US,2022-03-12 01:03:19,30.421,-87.3075,70.3,96,100,5.75
108,Gweta,BW,2022-03-12 01:03:19,-20.1833,25.2333,72.45,46,79,15.3
109,Parabel,RU,2022-03-12 01:03:20,58.6978,81.4825,-22.2,100,76,3.71
110,Thompson,CA,2022-03-12 01:03:20,55.7435,-97.8558,-1.89,96,100,3.71
111,Polunochnoye,RU,2022-03-12 01:03:21,60.8697,60.4153,-5.55,98,100,3.74
112,Grand Gaube,MU,2022-03-12 01:03:21,-20.0064,57.6608,77.4,89,97,14.52
113,Umm Lajj,SA,2022-03-12 01:03:22,25.0213,37.2685,63.46,53,0,16.11
114,Florida,US,2022-03-12 01:03:22,28.7505,-82.5001,75.9,91,75,5.75
115,Turukhansk,RU,2022-03-12 01:03:23,65.8167,87.9833,-20.31,100,58,4.41
116,Luderitz,NA,2022-03-12 01:03:23,-26.6481,15.1594,67.77,83,48,8.32
117,Pevek,RU,2022-03-12 01:03:23,69.7008,170.3133,4.06,76,0,2.93
118,Letnyaya Stavka,RU,2022-03-12 01:03:24,45.4306,43.4472,23.76,90,100,6.22
119,Sept-Iles,CA,2022-03-12 01:03:24,50.2001,-66.3821,10.06,71,89,1.99
120,Hithadhoo,MV,2022-03-12 01:03:25,-0.6,73.0833,81.95,64,6,5.48
121,Oranjestad,AW,2022-03-12 01:03:25,12.524,-70.027,78.44,85,95,23.33
122,Menongue,AO,2022-03-12 01:03:25,-14.6585,17.691,64.15,98,100,1.99
123,Khandbari,NP,2022-03-12 01:03:26,27.3747,87.2039,61.47,35,0,4.83
124,Timra,SE,2022-03-12 01:03:26,62.487,17.3257,31.68,86,31,2.3
125,Makakilo City,US,2022-03-12 01:03:27,21.3469,-158.0858,80.69,60,14,16.73
126,Jamestown,US,2022-03-12 01:00:00,42.097,-79.2353,32.52,70,100,6.91
127,Kodiak,US,2022-03-12 01:03:28,57.79,-152.4072,36.99,97,100,11.05
128,Cayenne,GF,2022-03-12 01:00:06,4.9333,-52.3333,80.1,55,75,5.99
129,Badiraguato,MX,2022-03-12 01:03:29,25.3667,-107.5167,70.36,25,0,4.63
130,Krasnyy Chikoy,RU,2022-03-12 01:03:29,50.3643,108.7512,13.1,90,78,2.95
131,Urusha,RU,2022-03-12 01:04:29,54.05,122.9,9.48,77,100,2.42
132,Severo-Yeniseyskiy,RU,2022-03-12 01:04:30,60.3725,93.0408,-24.2,100,100,3.2
133,East London,ZA,2022-03-12 01:04:30,-33.0153,27.9116,73.09,87,45,15.88
134,Egvekinot,RU,2022-03-12 01:04:31,66.3167,-179.1667,21.07,64,0,7.83
135,Port Hardy,CA,2022-03-12 01:04:31,50.6996,-127.4199,42.98,87,100,16.11
136,Moron,AR,2022-03-12 01:04:32,-34.6534,-58.6198,67.98,61,0,4.45
137,Ixtapa,MX,2022-03-12 01:04:32,20.7,-105.2,72.63,68,0,11.5
138,Cabo San Lucas,MX,2022-03-12 01:04:30,22.8909,-109.9124,72.52,67,0,10.36
139,Lebu,CL,2022-03-12 01:04:33,-37.6167,-73.65,58.73,90,1,18.34
140,Hay River,CA,2022-03-12 01:03:08,60.8156,-115.7999,8.49,95,100,8.5
141,Nikolskoye,RU,2022-03-12 01:04:33,59.7035,30.7861,31.87,96,100,3.91
142,Longyearbyen,SJ,2022-03-12 01:01:23,78.2186,15.6401,6.64,85,0,6.91
143,Gander,CA,2022-03-12 01:04:34,48.9682,-54.5906,26.17,49,99,15.01
144,Atar,MR,2022-03-12 01:02:23,20.5169,-13.0499,69.49,11,0,7.87
145,Vardo,NO,2022-03-12 01:04:35,70.3705,31.1107,32.52,76,100,13.58
146,Kashi,CN,2022-03-12 01:04:35,39.4547,75.9797,49.17,26,18,4.0
147,Leningradskiy,RU,2022-03-12 01:04:36,69.3833,178.4167,9.57,77,0,2.04
148,Havoysund,NO,2022-03-12 01:04:36,70.9963,24.6622,35.91,98,100,6.38
149,Waipawa,NZ,2022-03-12 01:04:36,-41.4122,175.5153,66.88,73,100,4.23
150,Puerto Escondido,MX,2022-03-12 01:04:37,15.85,-97.0667,81.43,69,40,5.75
151,Gotsu,JP,2022-03-12 01:04:37,35.0,132.2167,60.12,77,5,11.81
152,Aklavik,CA,2022-03-12 01:04:38,68.2191,-135.0107,-1.16,88,100,14.72
153,Jodhpur,IN,2022-03-12 01:04:38,26.2867,73.03,69.69,29,0,3.74
154,Kupang,ID,2022-03-12 01:04:39,-10.1667,123.5833,83.25,72,89,5.01
155,Khani,GE,2022-03-12 01:04:39,41.9563,42.9566,26.17,97,100,3.4
156,Georgetown,MY,2022-03-12 01:04:39,5.4112,100.3354,82.33,78,20,0.0
157,Nouadhibou,MR,2022-03-12 01:04:40,20.931,-17.0347,65.57,68,0,20.02
158,Kaitangata,NZ,2022-03-12 01:04:40,-46.2817,169.8464,63.03,59,74,13.4
159,Santos Dumont,BR,2022-03-12 01:04:41,-21.4567,-43.5525,68.11,95,11,3.51
160,Naze,JP,2022-03-12 01:04:41,28.3667,129.4833,62.29,58,0,10.22
161,Arrifes,PT,2022-03-12 01:04:42,37.7667,-25.7,59.23,94,75,16.11
162,Yumen,CN,2022-03-12 01:04:42,40.2833,97.2,46.26,25,100,5.82
163,Kruisfontein,ZA,2022-03-12 01:04:42,-34.0033,24.7314,69.37,88,100,6.64
164,Saldanha,ZA,2022-03-12 01:04:43,-33.0117,17.9442,68.0,81,0,6.2
165,Srednekolymsk,RU,2022-03-12 01:04:43,67.45,153.6833,4.73,90,98,7.49
166,Roma,US,2022-03-12 01:02:38,43.2128,-75.4557,45.88,74,100,8.05
167,Dikson,RU,2022-03-12 01:04:44,73.5069,80.5464,-3.86,87,100,23.58
168,Haines Junction,CA,2022-03-12 01:04:44,60.7522,-137.5108,28.2,93,100,1.57
169,San Jose,US,2022-03-12 01:04:05,37.3394,-121.895,72.54,19,0,11.5
170,Nefteyugansk,RU,2022-03-12 01:04:45,61.0998,72.6035,-12.21,100,97,8.16
171,Yar-Sale,RU,2022-03-12 01:04:45,66.8333,70.8333,-6.43,100,92,11.23
172,Tuatapere,NZ,2022-03-12 01:04:46,-46.1333,167.6833,61.77,65,58,11.18
173,Torbay,CA,2022-03-12 01:04:46,47.6666,-52.7314,31.57,68,66,8.01
174,Henties Bay,NA,2022-03-12 01:04:47,-22.116,14.2845,66.54,88,74,4.92
175,Arraial Do Cabo,BR,2022-03-12 01:04:47,-22.9661,-42.0278,77.9,83,0,25.21
176,Itainopolis,BR,2022-03-12 01:04:48,-7.4469,-41.4783,80.29,56,100,1.83
177,Kropotkin,RU,2022-03-12 01:04:48,45.4375,40.5756,26.62,74,100,11.5
178,San Patricio,US,2022-03-12 01:05:49,28.017,-97.5169,49.89,67,98,23.13
179,Ha Giang,VN,2022-03-12 01:05:49,22.8333,104.9833,69.3,93,100,2.37
180,Moose Factory,CA,2022-03-12 01:05:49,51.2585,-80.6094,15.73,92,100,4.65
181,Rincon,US,2022-03-12 01:05:50,32.296,-81.2354,63.86,96,100,10.36
182,Nileshwar,IN,2022-03-12 01:05:50,12.25,75.1,75.4,83,2,5.82
183,Zhuhai,CN,2022-03-12 01:05:51,22.2769,113.5678,73.18,88,5,3.44
184,Qasigiannguit,GL,2022-03-12 01:05:51,68.8193,-51.1922,5.25,97,100,5.19
185,Nieves,PH,2022-03-12 01:05:52,15.3274,120.9485,86.2,59,100,3.6
186,Dharchula,IN,2022-03-12 01:05:52,29.85,80.5333,52.47,25,0,10.94
187,Iqaluit,CA,2022-03-12 01:05:53,63.7506,-68.5145,-29.78,93,96,3.18
188,Dingle,PH,2022-03-12 01:05:53,10.9995,122.6711,83.41,75,100,5.77
189,Cabedelo,BR,2022-03-12 01:05:53,-6.9811,-34.8339,79.47,74,26,7.18
190,Tisul,RU,2022-03-12 01:05:54,55.7611,88.3122,-16.76,100,100,3.42
191,Oranjemund,NA,2022-03-12 01:05:54,-28.55,16.4333,68.59,83,13,3.09
192,Ampanihy,MG,2022-03-12 01:05:55,-24.7,44.75,72.52,88,14,8.97
193,Hanyang,CN,2022-03-12 01:05:56,32.1371,105.5126,66.18,70,6,3.89
194,Chekhov,RU,2022-03-12 01:05:56,55.1431,37.4711,19.29,95,100,3.51
195,Merauke,ID,2022-03-12 01:05:57,-8.4667,140.3333,77.99,87,100,1.95
196,Stanislav,UA,2022-03-12 01:05:57,46.5691,32.1478,23.68,77,100,17.81
197,Ormara,PK,2022-03-12 01:01:25,25.2088,64.6357,75.63,67,6,8.57
198,Kapaa,US,2022-03-12 01:05:58,22.0752,-159.319,80.92,70,20,11.5
199,Volterra,IT,2022-03-12 01:05:58,43.4003,10.86,44.42,70,100,4.29
